problem-001,233168
problem-002,4613732
problem-003,6857
problem-004,906609
problem-005,232792560
problem-006,25164150
problem-007,104743
problem-008,23514624000
problem-009,31875000
problem-010,142913828922
problem-011,70600674
problem-012,76576500
problem-013,5537376230
problem-014,837799
problem-015,137846528820
problem-016,1366
problem-017,21124
problem-018,1074
problem-019,171
problem-020,648
problem-021,31626
problem-022,871198282
problem-023,4179871
problem-024,2783915460
problem-025,4782
problem-026,983
problem-027,-59231
problem-028,669171001
problem-029,9183
problem-030,443839
problem-031,73682
problem-032,45228
problem-033,100
problem-034,40730
problem-035,55
problem-036,872187
problem-037,748317
problem-038,932718654
problem-039,840
problem-040,210
problem-041,7652413
problem-042,162
problem-043,16695334890
problem-044,5482660
problem-045,1533776805
problem-046,5777
problem-047,134043
problem-048,9110846700
problem-049,296962999629
problem-050,997651
problem-051,121313
problem-052,142857
problem-053,4075
problem-054,376
problem-055,249
problem-056,972
problem-057,153
problem-058,26241
problem-059,107359
problem-060,26033
problem-061,28684
problem-062,127035954683
problem-063,49
problem-064,1322
problem-065,272
problem-066,661
problem-067,7273
problem-068,6531031914842725
problem-069,510510
problem-070,8319823
problem-071,428570
problem-072,303963552391
problem-073,7295372
problem-074,402
problem-075,161667
problem-076,190569291
problem-077,71
problem-078,55374
problem-079,73162890
problem-080,40886
problem-081,427337
problem-082,260324
problem-083,425185
problem-084,101524
problem-085,2772
problem-086,1818
problem-087,1097343
problem-088,7587457
problem-089,743
problem-090,1217
problem-091,14234
problem-092,8581146
problem-093,1258
problem-094,518408346
problem-095,14316
problem-096,24702
problem-097,8739992577
problem-098,18769
problem-099,709
problem-100,756872327473
problem-101,37076114526
problem-102,228
problem-104,329468
problem-105,73702
problem-107,259679
problem-108,180180
problem-109,38182
problem-111,612407567715
problem-112,1587000
problem-113,51161058134250
problem-114,16475640049
problem-115,168
problem-116,20492570929
problem-117,100808458960497
problem-118,44680
problem-119,248155780267521
problem-120,333082500
problem-121,2269
problem-122,1582
problem-123,21035
problem-124,21417
problem-125,2906969179
problem-127,18407904
problem-128,14516824220
problem-129,1000023
problem-130,149253
problem-132,843296
problem-133,453647705
problem-134,18613426663617118
problem-135,4989
problem-139,10057761
problem-142,1006193
problem-145,608720
problem-146,676333270
problem-149,52852124
problem-150,-271248680
problem-151,0.464399
problem-155,3857447
problem-160,16576
problem-162,3D58725572C62302
problem-164,378158756814587
problem-166,7130034
problem-169,178653872807
problem-171,142989277
problem-172,227485267000992000
problem-173,1572729
problem-174,209566
problem-179,986262
problem-182,399788195976
problem-186,2325629
problem-187,17427258
problem-188,95962097
problem-191,1918080160
problem-197,1.710637717
problem-203,34029210557338
problem-204,2944730
problem-205,0.5731441
problem-206,1389019170
problem-211,1922364685
problem-214,1677366278943
problem-215,806844323190414
problem-216,5437849
problem-218,0
problem-222,1590933
problem-225,2009
problem-231,7526965179680
problem-243,892371480
problem-249,9275262564250418
problem-250,1425480602091519
problem-265,209110240768
problem-267,0.999992836187
problem-271,4617456485273129588
problem-280,430.088247
problem-301,2178309
problem-303,1111981904675169
problem-304,283988410192
problem-315,13625242
problem-323,6.3551758451
problem-345,13938
problem-347,11109800204052
problem-357,1739023853137
problem-381,139602943319822
problem-387,696067597313468
problem-401,281632621
problem-407,39782849136421
problem-417,446572970925740
problem-425,46479497324
problem-429,98792821
problem-431,23.386029052
problem-433,326624372659664
problem-451,153651073760956
problem-493,6.818741802
